id,table_name,table_area,table_description,created_by,date_created,updated_by,date_updated
1,01OVEN_T,Oven/Bake,<p>OVEN/BAKE</p>,NULL,"2025-03-14 13:22:39",NULL,"2025-03-14 14:44:51"
2,02OVEN_T,Oven/Bake,Oven/Bake,NULL,"2025-03-14 13:24:29",NULL,"2025-03-14 13:24:29"
3,03OVEN_T,Oven/Bake,<p>Oven/Bake</p>,NULL,"2025-03-14 13:24:41",NULL,"2025-03-14 13:24:41"
4,04OVEN_T,Oven/Bake,<p>Oven/Bake</p>,NULL,"2025-03-14 13:24:51",NULL,"2025-03-14 13:24:51"
5,05OVEN_T,Oven/Bake,<p>Oven/Bake</p>,NULL,"2025-03-14 13:25:02",NULL,"2025-03-14 13:25:02"
6,06OVEN_T,Oven/Bake,<p>Oven/Bake</p>,NULL,"2025-03-14 13:25:11",NULL,"2025-03-14 13:25:11"
7,07OVEN_T,Oven/Bake,<p>Oven/Bake</p>,NULL,"2025-03-14 13:25:21",NULL,"2025-03-14 13:25:21"
8,08OVEN_T,Oven/Bake,<p>Oven/Bake</p>,NULL,"2025-03-14 13:25:33",NULL,"2025-03-14 13:25:33"
9,01FVI_T,"Final Visual Inspection (FVI)","<p>FVI Table</p>",NULL,"2025-03-14 13:26:26",NULL,"2025-03-14 13:26:26"
10,02FVI_T,"Final Visual Inspection (FVI)","<p>FVI Table</p>",NULL,"2025-03-14 13:26:59",NULL,"2025-03-14 13:26:59"
11,03FVI_T,"Final Visual Inspection (FVI)","<p>FVI Table</p>",NULL,"2025-03-14 13:27:21",NULL,"2025-03-14 13:27:21"
12,04FVI_T,"Final Visual Inspection (FVI)","<p>FVI Table</p>",NULL,"2025-03-14 13:27:48",NULL,"2025-03-14 13:27:48"
13,05FVI_T,"Final Visual Inspection (FVI)","<p>FVI Table</p>",NULL,"2025-03-14 13:28:06",NULL,"2025-03-14 13:28:06"
14,06FVI_T,"Final Visual Inspection (FVI)","<p>FVI Table</p>",NULL,"2025-03-14 13:28:26",NULL,"2025-03-14 13:28:26"
15,07FVI_T,"Final Visual Inspection (FVI)","<p>FVI Table</p>",NULL,"2025-03-14 13:28:46",NULL,"2025-03-14 13:28:46"
16,08FVI_T,"Final Visual Inspection (FVI)","<p>FVI Table</p>",NULL,"2025-03-14 13:29:00",NULL,"2025-03-14 13:29:00"
17,09FVI_T,"Final Visual Inspection (FVI)","<p>&nbsp;<span style="font-size: 1rem;">FVI Table</span></p>",NULL,"2025-03-14 13:30:17",NULL,"2025-03-14 13:30:17"
18,24FVI_T,"Final Visual Inspection (FVI)","<p>BRAND&nbsp;<span style="font-size: 1rem;">FVI Table</span></p>",NULL,"2025-03-14 13:31:07",NULL,"2025-03-14 13:31:07"
19,25FVI_T,"Final Visual Inspection (FVI)","<p>BRAND&nbsp;<span style="font-size: 1rem;">FVI Table</span></p>",NULL,"2025-03-14 13:31:22",NULL,"2025-03-14 13:31:22"
20,52FVI_T,"Final Visual Inspection (FVI)","<p>BRAND&nbsp;<span style="font-size: 1rem;">FVI Table</span></p>",NULL,"2025-03-14 13:31:37",NULL,"2025-03-14 13:31:37"
